Name,base_clock,cores,multi_threaded,socket,Price,brand
AMD RYZEN 3 3200G 3.6 GHz (SOCKET AM4),3.6,4,TRUE,AM4,2690,AMD
AMD RYZEN 3 5600X 3.7 GHz (SOCKET AM4),3.7,6,TRUE,AM4,5590,AMD
AMD RYZEN 7 5800X 3.8 GHz (SOCKET AM4),3.8,8,TRUE,AM4,9690,AMD
AMD RYZEN 5 5600G 3.9 GHz (SOCKET AM4),3.9,6,TRUE,AM4,5290,AMD
AMD RYZEN 7 5700X 3.8 GHz (SOCKET AM4),3.8,8,TRUE,AM4,7990,AMD
AMD RYZEN 5 5500 3.6 GHz (SOCKET AM4),3.6,6,TRUE,AM4,3590,AMD
AMD RYZEN 5 5600 3.5 GHz (SOCKET AM4),3.5,6,TRUE,AM4,4190,AMD
AMD RYZEN 7 5700X 3.8 GHz (SOCKET AM4),3.8,8,TRUE,AM4,7290,AMD
AMD RYZEN 7 5800X3D 3.4 GHz (SOCKET AM4),3.4,8,TRUE,AM4,13290,AMD
AMD RYZEN 5 4500 3.6 GHz (SOCKET AM4),3.6,6,TRUE,AM4,2990,AMD
AMD RYZEN 5 4600G 3.7 GHz (SOCKET AM4),3.7,6,TRUE,AM4,3790,AMD
AMD RYZEN 3 4100 3.8 GHz (SOCKET AM4),3.8,4,TRUE,AM4,2590,AMD
AMD RYZEN 7 5700X3D  (SOCKET AM4),3,8,TRUE,AM4,9890,AMD
AMD RYZEN 7 5700  (SOCKET AM4),3.7,8,TRUE,AM4,6690,AMD
AMD RYZEN 5 5600GT  (SOCKET AM4),3.6,6,TRUE,AM4,5690,AMD
AMD RYZEN 5 5500GT  (SOCKET AM4),3.6,6,TRUE,AM4,4890,AMD
AMD RYZEN 5 7600X 4.7 GHz (SOCKET AM5),4.7,6,TRUE,AM5,8890,AMD
AMD RYZEN 7 7700X 4.5 GHz (SOCKET AM5),4.5,8,TRUE,AM5,13790,AMD
AMD RYZEN 9 7900X 4.7 GHz (SOCKET AM5),4.5,12,TRUE,AM5,16590,AMD
AMD RYZEN 9 7950X 4.5 GHz (SOCKET AM5),4.5,16,TRUE,AM5,21900,AMD
AMD RYZEN 5 7600 3.8 GHz (SOCKET AM5),3.8,6,TRUE,AM5,7990,AMD
AMD RYZEN 7 7700 3.8 GHz (SOCKET AM5),3.8,8,TRUE,AM5,13190,AMD
AMD RYZEN 9 7900 3.7 GHz (SOCKET AM5),3.7,12,TRUE,AM5,15990,AMD
AMD RYZEN 9 7950X3D 4.2 GHz (SOCKET AM5),4.2,16,TRUE,AM5,25690,AMD
AMD RYZEN 9 7900X3D 4.4 GHz (SOCKET AM5),4.4,12,TRUE,AM5,19590,AMD
AMD RYZEN 7 7800X3D 4.2 GHz (SOCKET AM5),4.2,12,TRUE,AM5,14890,AMD
AMD RYZEN 7 8700G (SOCKET AM5),4.2,8,TRUE,AM5,12890,AMD
AMD RYZEN 5 8600G (SOCKET AM5),4.3,6,TRUE,AM5,8990,AMD
AMD RYZEN 5 8500G (SOCKET AM5),3.5,6,TRUE,AM5,6990,AMD
AMD RYZEN THREADRIPPER PRO 5965WX (SOCKET sWRX8),3.8,24,TRUE,sWRX8,94900,AMD
INTEL CORE I5-10400 2.9 GHz (SOCKET LGA 1200),2.9,6,TRUE,LGA 1200,4790,Intel
INTEL CORE I3-10100 3.6 GHz (SOCKET LGA 1200),3.6,4,TRUE,LGA 1200,3990,Intel
INTEL CORE I5-10400F 2.9 GHz (SOCKET LGA 1200),2.9,6,TRUE,LGA 1200,3890,Intel
INTEL CORE I5-11400 2.6 GHz (SOCKET LGA 1200),2.6,6,TRUE,LGA 1200,4490,Intel
INTEL CORE I3-10105 3.7 GHz (SOCKET LGA 1200),3.7,4,TRUE,LGA 1200,3890,Intel
INTEL PENTIUM GOLD G6405 4.1 GHz (SOCKET LGA 1200),4.1,2,TRUE,LGA 1200,2490,Intel
INTEL CORE I3-12100F 3.3 GHz (SOCKET LGA 1700),3.3,4,TRUE,LGA 1700,3150,Intel
INTEL CORE I5-12400F 2.5 GHz (SOCKET LGA 1700),2.5,6,TRUE,LGA 1700,4890,Intel
INTEL CORE I5-12400 2.5 GHz (SOCKET LGA 1700),2.5,6,TRUE,LGA 1700,6290,Intel
INTEL CORE I7-12700F 2.1 GHz (SOCKET LGA 1700),2.1,12,TRUE,LGA 1700,10900,Intel
INTEL CORE I7-12700 2.1 GHz (SOCKET LGA 1700),2.1,12,TRUE,LGA 1700,11200,Intel
INTEL CORE I3-12100 3.3 GHz (SOCKET LGA 1700),3.3,4,TRUE,LGA 1700,4240,Intel
INTEL CORE I5-13600K 3.5 GHz (SOCKET LGA 1700),3.5,14,TRUE,LGA 1700,11800,Intel
INTEL CORE I7-13700K 3.4 GHz (SOCKET LGA 1700),3.4,16,TRUE,LGA 1700,15800,Intel
INTEL CORE I7-13700KF 3.4 GHz (SOCKET LGA 1700),3.4,16,TRUE,LGA 1700,15400,Intel
INTEL CORE I9-13900K 3.0 GHz (SOCKET LGA 1700),3,16,TRUE,LGA 1700,22200,Intel
INTEL CORE I3-13100 3.4 GHz (SOCKET LGA 1700),3.4,4,TRUE,LGA 1700,4990,Intel
INTEL CORE I3-13100F 3.4 GHz (SOCKET LGA 1700),3.4,4,TRUE,LGA 1700,4190,Intel
INTEL CORE I5-13400F 2.5 GHz (SOCKET LGA 1700),2.5,10,TRUE,LGA 1700,7190,Intel
INTEL CORE I5-13500 2.5 GHz (SOCKET LGA 1700),2.5,10,TRUE,LGA 1700,8790,Intel
INTEL CORE I7-13700 2.1 GHz (SOCKET LGA 1700),2.1,16,TRUE,LGA 1700,14500,Intel
INTEL CORE I7-13700F 2.1 GHz (SOCKET LGA 1700),2.1,16,TRUE,LGA 1700,13800,Intel
INTEL CORE I9-13900F 2.0 GHz (SOCKET LGA 1700),2,24,TRUE,LGA 1700,19950,Intel
INTEL CORE I5 14600K (SOCKET LGA 1700),3.5,14,TRUE,LGA 1700,12890,Intel
INTEL CORE I5 14600KF (SOCKET LGA 1700),3.5,14,TRUE,LGA 1700,11800,Intel
INTEL CORE I7 14700K (SOCKET LGA 1700),3.4,20,TRUE,LGA 1700,16500,Intel
INTEL CORE I7 14700KF (SOCKET LGA 1700),3.4,20,TRUE,LGA 1700,15900,Intel
INTEL CORE I9 14900K (SOCKET LGA 1700),3.2,24,TRUE,LGA 1700,23800,Intel
INTEL CORE I9 14900KF (SOCKET LGA 1700),3.2,24,TRUE,LGA 1700,23400,Intel
INTEL CORE I9 14900F (SOCKET LGA 1700),5.8,24,TRUE,LGA 1700,22900,Intel
INTEL CORE I9 14900 (SOCKET LGA 1700),5.8,24,TRUE,LGA 1700,23300,Intel
INTEL CORE I7 14700F (SOCKET LGA 1700),5.4,20,TRUE,LGA 1700,14590,Intel
INTEL CORE I7 14700 (SOCKET LGA 1700),5.4,20,TRUE,LGA 1700,15800,Intel
INTEL CORE I5 14500 (SOCKET LGA 1700),5,14,TRUE,LGA 1700,9890,Intel
INTEL CORE I5 14400F (SOCKET LGA 1700),4.7,10,TRUE,LGA 1700,8440,Intel
INTEL CORE I5 14400 (SOCKET LGA 1700),4.7,10,TRUE,LGA 1700,9490,Intel
INTEL CORE I3 14100F (SOCKET LGA 1700),4.7,4,TRUE,LGA 1700,4790,Intel
INTEL CORE I3 14100 (SOCKET LGA 1700),4.7,4,TRUE,LGA 1700,5990,Intel