Name,capacity,rgb,Price
2 GB PC DDR-III/1333 KINGMAX,2,FALSE,350
1 GB-1333 KINGMAX,1,FALSE,250
"4GB (4GBx1 , 8 chips) DDR3 1333MHz RAM (หน่วยความจำ) KINGSTON",4,FALSE,1100
"2GB (2GBx1 , 4 chips) DDR3 1333MHz RAM (หน่วยความจำ) KINGSTON",2,FALSE,490
2GB ( 2GBx1 ) DDR3/1333 RAM PC (แรมพีซี) G.SKILL VALUE,2,FALSE,750
16GB (8GBx2) DDR4 2666MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE LPX,16,FALSE,1590
8GB (8GBx1) DDR4 2666MHz RAM (หน่วยความจำ) KINGSTON,8,FALSE,840
16GB (16GBx1) DDR4 2666MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE LPX,16,FALSE,1490
8GB (8GBx1) DDR4 2666MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE LPX,8,FALSE,820
16GB (8GBx2) DDR4 2666MHz RAM (หน่วยความจำ) OCPC XTREME,16,FALSE,1890
16GB (8GBx2) DDR4 2666MHz RAM (หน่วยความจำ) G.SKILL RIPJAWS V,16,FALSE,1390
16GB (8GBx2) DDR4 2666MHz RAM (หน่วยความจำ) KINGSTON HyperX FURY RGB,16,TRUE,2990
8GB (8GBx1) DDR4 2666MHz RAM (หน่วยความจำ) G.SKILL RIPJAWS 4,8,FALSE,690
16GB (16GBx1) DDR4 2666MHz RAM (หน่วยความจำ) KINGSTON HyperX FURY,16,FALSE,2390
8GB (8GBx1) DDR4 2666MHz RAM (หน่วยความจำ) KINGSTON VALUE RAM,8,FALSE,890
16GB (16GBx1) DDR4 2666MHz RAM (หน่วยความจำ) KINGSTON VALUE RAM,16,FALSE,1490
16GB (8GBx2) DDR4 2666MHz RAM (หน่วยความจำ) ZADAK MOAB RGB,16,TRUE,2590
16GB (8GBx2) DDR4 2666MHz RAM (หน่วยความจำ) APACER PANTHER,16,FALSE,1460
8GB (8GBx1) DDR4 2666MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,8,FALSE,790
16GB (8GBx2) DDR4 2666MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,16,FALSE,1440
4GB (4GBx1) DDR4 2666MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,4,FALSE,890
16GB (8GBx2) DDR4 2666MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,16,TRUE,2190
32GB (16GBx2) DDR4 2666MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,32,TRUE,5490
16GB (16GBx1) DDR4 2666MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,16,FALSE,1390
16GB (16GBx1) DDR4 2666MHz RAM (หน่วยความจำ) ADATA PREMIER,16,FALSE,2250
4GB (4GBx1) DDR4 2666MHz RAM (หน่วยความจำ) KLEVV,4,FALSE,790
4GB DDR4 2666MHz RAM (หน่วยความจำ) ADATA 4 CHIP U-DIMM,4,FALSE,439
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) G.SKILL RIPJAWS V ,16,FALSE,1590
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z RGB,16,TRUE,2290
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE LPX,16,FALSE,1790
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z ROYAL,16,TRUE,3890
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z ROYAL,16,TRUE,3990
64GB (32GBx2) DDR4 3200MHz RAM (หน่วยความจำ) ZADAK SHIELD DC,64,TRUE,33990
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z,32,TRUE,3590
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) G.SKILL RIPJAWS V,16,FALSE,1490
16GB (8GBx2) DDR4/3200 RAM PC (หน่วยความจำ) KLEVV CRAS X,16,TRUE,1990
8GB (8GBx1) DDR4/3200MHz RAM (หน่วยความจำ) KLEVV BOLT X,8,FALSE,990
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) G.SKILL FLARE X,16,FALSE,1590
64GB (16GBx4) DDR4 3200MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z,64,TRUE,6500
128GB (32GBx4) DDR4 3200MHz RAM (หน่วยความจำ) G.SKILL RIPJAWS V,128,FALSE,14990
16GB (8GBx2) DDR4/3200 RAM PC (แรมพีซี) APACER PANTHER (BLACK-GOLD) RP-K2,16,FALSE,3190
64GB (32GBx2) DDR4 3200MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z NEO,64,FALSE,6690
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) KINGSTON VALUE RAM,16,FALSE,2990
8GB (8GBx1) DDR4 3200MHz RAM (หน่วยความจำ) KINGSTON VALUE RAM,8,FALSE,750
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE LPX,32,FALSE,2840
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE RGB PRO SL,16,TRUE,2090
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE PRO SL,32,TRUE,3490
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE LPX,16,FALSE,1590
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE PRO RGB SL,32,TRUE,3590
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) APACER GOLDEN PANTHER RP-K2,16,FALSE,1450
8GB (8GBx1) DDR4 3200MHz RAM (หน่วยความจำ) APACER PANTHER,8,FALSE,790
8GB (8GBx1) DDR4 3200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,8,FALSE,740
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,16,FALSE,1650
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,16,TRUE,1890
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE RGB RS,32,TRUE,3290
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE LPX,32,FALSE,2990
8GB (8GBx1) DDR4/3200 RAM PC (แรมพีซี) ADDLINK SPIDER 4 DDR4,8,FALSE,1459
16GB (16GBx1) DDR4/3200 RAM PC (แรมพีซี) ADDLINK SPIDER 4 DDR4,16,FALSE,2735
16GB KIT (8GBx2) DDR4/3200 RAM PC (แรมพีซี) ADDLINK SPIDER 4 (2 PACK) DDR4,16,FALSE,2969
16GB KIT (8GBx2) DDR4/3200 RAM PC (แรมพีซี) ADDLINK SPIDER X4 (2 PACK) DDR4,16,FALSE,3189
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) ADATA PREMIER,16,FALSE,2300
32GB (32GBx1) DDR4 3200MHz RAM (หน่วยความจำ) ADATA PREMIER,32,FALSE,4690
8GB (8GBx1) DDR4 3600MHz RAM (หน่วยความจำ) ADATA GAMMIX D30,8,FALSE,2850
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) ADATA GAMMIX D20,16,FALSE,3300
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) ADATA GAMMIX D20,16,FALSE,3300
16GB (8GBX2) DDR4 3200MHz RAM (หน่วยความจำ) KLEVV BOLT X DDR4,16,FALSE,1890
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,16,FALSE,1480
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,32,FALSE,3290
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) CRUCIAL 16GB DDR4-3200 UDIMM CL22,16,FALSE,1350
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,32,TRUE,3190
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,8,TRUE,2490
8GB (8GBx1) DDR4 3200MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE LPX DDR4,8,FALSE,790
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE LPX DDR4,16,FALSE,1390
8GB (8GBx1) DDR4 3200Mbps RAM PC (หน่วยความจำ) LEXAR U-DIMM CL22,8,FALSE,890
16GB (16GBx1) DDR4 3200Mbps RAM PC (หน่วยความจำ) LEXAR U-DIMM CL22,16,FALSE,1590
32GB (32GBx1) DDR4 3200Mbps RAM PC (หน่วยความจำ) LEXAR U-DIMM CL22,32,FALSE,3490
16GB (8GBx2) DDR4 3200Mbps RAM PC (หน่วยความจำ) LEXAR THOR OC DK WITH HEATSINK,16,FALSE,2690
8GB (8GBx1) DDR4 3200MHz RAM (หน่วยความจำ) ACER HT100 DESKTOP DRAM DDR4,8,FALSE,790
8GB (8GBx1) DDR4 3200MHz RAM (หน่วยความจำ) HIKSEMI U10 U-DIMM,8,FALSE,660
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) HIKSEMI U10 U-DIMM,16,FALSE,1150
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) ADATA SPECTRIX D60G,16,FALSE,2090
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) ADATA SPECTRIX DT50,16,FALSE,1990
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) ADATA SPECTRIX DW50,16,FALSE,1990
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) ADATA GAMMIX D30,16,FALSE,1790
32GB (2x16GB) RAM PC (หน่วยความจำ) ACER PREDATOR TALOS DDR4 3200MHz CL14 DIMM,32,FALSE,6550
8GB (8GBx1) DDR4 3200MHz RAM (หน่วยความจำ) PNY XLR8 LONGDIMM,8,FALSE,790
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) PNY XLR8 LONGDIMM,16,FALSE,1650
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) PNY XLR8,16,FALSE,1750
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) PNY XLR8 GAMING EPIC-X,16,TRUE,1590
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) PNY XLR8 GAMING EPIC-X,16,TRUE,1850
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) PNY XLR8,16,FALSE,1850
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) PATRIOT VIPER STEEL RGB DDR4,16,TRUE,1690
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) PATRIOT VIPER STEEL RGB DDR4,32,TRUE,2790
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) G.SKILL RIPJAWS V,32,FALSE,2890
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) PATRIOT VIPER STEEL DDR4,16,FALSE,1540
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) PATRIOT VIPER STEEL DDR4,32,FALSE,2490
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,16,TRUE,1990
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,32,TRUE,2990
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) APACER PANTHER DDR4,16,FALSE,1290
8GB (8GBx1) DDR4 3200MHz RAM (หน่วยความจำ) KLEVV BOLT X GAMING OC MEMORY,8,FALSE,750
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) KLEVV CRAS X,16,FALSE,1790
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) KLEVV BOLT X GAMING OC MEMORY,16,FALSE,1350
4GB (4GBx1) DDR4 3200Mbps RAM PC (หน่วยความจำ) LEXAR UDIMM,4,FALSE,590
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z,32,TRUE,3690
16GB (8GBx2) DDR4 3600MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z NEO,16,FALSE,2590
16GB (8GBx2) DDR4 3600MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE,16,TRUE,2390
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE PRO SL,32,TRUE,3990
128GB (32GBx4) DDR4/3600 RAM PC (แรมพีซี) G.SKILL TRIDENT Z NEO,128,FALSE,16000
16GB (8GBx2) DDR4 3600MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z NEO,16,FALSE,2690
64GB (16GBx4) DDR4 3600MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE RGB PRO SL,64,TRUE,10400
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z ROYAL ELITE,32,FALSE,12600
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z ROYAL ELITE,32,FALSE,5990
64GB (16GBx4) DDR4 3600MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z ROYAL ELITE,64,FALSE,12900
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE LPX,32,FALSE,3590
16GB (8GBx2) DDR4 3600MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE RGB RS,16,TRUE,2290
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE RGB RS,32,TRUE,4490
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE RGB RT,32,TRUE,3990
16GB (8GBx2) DDR4 3600MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z,16,TRUE,2390
